Language,Desired to use,Already using
C#,69018,82279
HTML/CSS,119404,196254
JavaScript,132267,169054
Python,111187,104659
Swift,26519,19981
Objective-C,10274,13885
Java,73852,104500
Ruby,22583,23254
Scala,16555,11903
PHP,42477,67473
Rust,29333,10298
R,19680,15777
SQL,100301,134844
Go,46751,23541
TypeScript,61254,52419
Assembly,13116,17069
Bash/Shell/PowerShell,53782,82143
C,34524,53387
Haskell,8762,5489
Perl,4664,6165
C++,50056,61750
Julia,3153,1464
Kotlin,34828,13596
Dart,9316,4459
VBA,5337,12535
Elixir,4168,2825
WebAssembly,8440,1015
Erlang,5165,2716
Other(s):,7912,7920
Clojure,5853,3594
F#,7730,4122
Matlab,3674,5495
Ocaml,1143,470
CoffeeScript,3048,3635
Delphi/Object Pascal,1026,2025
Groovy,3238,4239
Hack,837,592
VB.NET,3819,6058
Lua,3375,3850
Visual Basic 6,1761,3382
Cobol,464,590
Smalltalk,327,421
Common Lisp,273,647
